"","member_casual","month","ride_length"
"1","casual",1,9698.96917148362
"2","member",1,668.942255270061
"3","casual",2,7997.16460938769
"4","member",2,768.397162113105
"5","casual",3,4250.22303473492
"6","member",3,860.064355108008
"7","casual",4,3056.54714728552
"8","member",4,810.767528014488
"9","casual",5,3074.30172498285
"10","member",5,830.993825087289
"11","casual",6,2755.20239137446
"12","member",6,872.846478763069
"13","casual",7,3587.0294991801
"14","member",7,985.999981660173
"15","casual",8,4020.45134277566
"16","member",8,971.132429115164
"17","casual",9,3100.00218311876
"18","member",9,847.83891596117
"19","casual",10,3539.52902090519
"20","member",10,781.853250695758
"21","casual",11,4021.96581744379
"22","member",11,745.924255238576
"23","casual",12,3799.95940353013
"24","member",12,684.909838311866
